name,score,developer,publisher,owners,players_forever,players_2weeks,score_ratio(+to-),days_since_sale,average_days_per_sale,average_days_per_sale_variance
,,,,,,,,,,
Lost Grimoires 2: Shard of Mystery,51,World-Loom,Artifex Mundi,8927,7352,1589,4.86,60,55.2,23.33
,,,,,,,,,,
Pillars of Eternity II: Deadfire,,Obsidian Entertainment,"Versus Evil, Obsidian",4201,1589,1589,0,-1,0,-1
,,,,,,,,,,
DragonWingsVR,2,Wyrmbyte,Wyrmbyte,1303,781,0,0.5,108,121,0
,,,,,,,,,,
Disney Infinity 2.0: Gold Edition,89,"Avalanche Software, Heavy Iron Studios",Disney Interactive,17726,4953,2352,18,42,91,1860.5
,,,,,,,,,,
WolfQuest,62,eduweb,eduweb,38072,37284,5514,6.49,444,0,-1
,,,,,,,,,,
Signal Decay,,Nela System,Nela System,795,795,0,0,-1,0,-1
,,,,,,,,,,
Tilted Mind,,Paul Svelmoe,Paul Svelmoe,795,0,0,0,102,57,161.33
,,,,,,,,,,
Shelter 2,53,Might and Delight,Might and Delight,422207,197450,3413,5,43,57.06,138.58
,,,,,,,,,,
War Builder League,,Cyber Prophet,Fat Dog Games,11553,2353,0,0,-1,0,-1
,,,,,,,,,,
Warfare,39,GFI Russia,Game Factory Interactive,45949,7089,785,3.3,53,168.62,2155.2
,,,,,,,,,,
Jelly in the sky,15,Zolden games,Zolden games,3650,3389,785,1.45,-1,0,-1
,,,,,,,,,,
Super Shoot Owl,28,Shazard G Bansraj,Shazard G Bansraj,3389,1825,778,2.33,-1,0,-1
,,,,,,,,,,
Space Cat,86,argagonky,argagonky,795,0,0,14,226,103,128
,,,,,,,,,,
One Night,,Rinat Mirzasalikhov,Rinat Mirzasalikhov,11028,7352,0,0.67,906,65,3
,,,,,,,,,,
Psi Project 2,59,Vyacheslav Shilikhin,Vyacheslav Shilikhin,16423,2085,1171,6,91,0,-1
,,,,,,,,,,
Five Nights at Freddy's: Sister Location,78,Scott Cawthon,Scott Cawthon,399106,232790,7820,11.22,43,87.8,332.93
,,,,,,,,,,
Violet's Dream VR,,Œ_Œ_Œ_¬¾_Ç,Œ_Œ_Œ_¬¾_Ç,795,0,0,0,339,0,-1
,,,,,,,,,,
MAZ!,59,XoDupo,ILLUMICORP,33609,3676,1184,6,13,29.67,1.81
,,,,,,,,,,
Rustbucket Rumble,11,Reactor Zero,"Scrap Yard Productions, LLC",276585,149893,0,1.13,-1,0,-1
,,,,,,,,,,
The SKIES,7,Eforb,Eforb,1044227,610205,6039,0.87,-1,0,-1
,,,,,,,,,,
Anarchy Arcade,27,Elijah Newman-Gomez,Elijah Newman-Gomez,681098,372319,1184,2.28,-1,0,-1
,,,,,,,,,,
Full-On Paintball,,Gamepainters,Gamepainters,785,0,0,0,113,0,-1
,,,,,,,,,,
Panzer Warfare,27,Kobra Studio,Kobra Studio,36759,33871,784,2.31,85,43.9,40.4
,,,,,,,,,,
King Arthur: Collection,,NeocoreGames,Paradox Interactive,104764,57765,784,1.71,-1,0,-1
,,,,,,,,,,
Deadlight,47,"Tequila Works, S.L.",Microsoft Studios,989813,681947,2085,4.04,44,40.89,2.58
,,,,,,,,,,
OKAMI HD /  ,82,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",108177,81658,17067,13.11,-1,0,-1
,,,,,,,,,,
MDK2 HD,11,Overhaul Games,Interplay Inc.,13295,8342,0,1.18,95,72.24,74.79
,,,,,,,,,,
Colour Bind,28,Finn Morgan,Puppy Punch Productions,8603,3910,0,2.4,1867,43.5,105.12
,,,,,,,,,,
BLOCKADE 3D,15,Shumkov Dmitriy,Shumkov Dmitriy,4285888,3234033,55265,1.44,-1,0,-1
,,,,,,,,,,
MicroVolts Surge,28,NQ Games,Rock Hippo Productions,984099,474195,784,2.34,-1,0,-1
,,,,,,,,,,
Coldfire Keep,3,Steve Jarman,Steve Jarman,35709,5251,0,0.57,231,137.88,169.97
,,,,,,,,,,
Inferno Puzzle,,Tero Lunkka,Tero Lunkka,13916,0,0,0,91,70,0
,,,,,,,,,,
Bad Rats Show,56,Invent4 Entretenimento,Strategy First,32558,14441,1569,5.35,43,51.8,338.72
,,,,,,,,,,
Divinity: Original Sin 2,89,Larian Studios,Larian Studios,1146366,1094902,234997,17.98,42,14.5,0.12
,,,,,,,,,,
The Political Machine 2012,,Stardock Entertainment,Stardock Entertainment,79033,60128,0,2.19,872,78.67,69.7
,,,,,,,,,,
Legion Tale,,Maulidan Games,Maulidan Games,795,0,0,0,141,0,-1
,,,,,,,,,,
Dark Quest 2,53,Brain Seal Ltd,Brain Seal Ltd,3151,1838,784,5.18,44,45.33,0.05
,,,,,,,,,,
Midsummer Night,62,Everlasting Fantasy,Siberian Digital,115529,85334,1184,6.67,24,41.38,35.94
,,,,,,,,,,
Darknet,97,E McNeill,E McNeill,4464,1579,0,32.5,43,51.75,1947.02
,,,,,,,,,,
Veteran Combat,9,CyberphobX,CyberphobX,11209,1562,0,1,95,82.67,3344.45
,,,,,,,,,,
Street Fighter V: Arcade Edition,9,Capcom,Capcom,370430,360525,99581,1.02,85,70.57,191.07
,,,,,,,,,,
Next Day: Survival,27,SOFF Games,Last Level,187431,178046,8081,2.31,107,40,0
,,,,,,,,,,
Epic Cards Battle(TCG),9,momoStorm Entertainment,momoStorm Entertainment,164629,77195,1176,1.01,-1,0,-1
,,,,,,,,,,
Breathing Fear,59,LunarPixel,Atriagames,21268,13391,1974,6.05,42,44.1,44.52
,,,,,,,,,,
Meteor Crush VR,100,XIERRA Games,XIERRA Games,795,0,0,3,-1,0,-1
,,,,,,,,,,
XCavalypse,28,davevillz,davevillz,3151,2626,0,2.38,232,64.33,633.8
,,,,,,,,,,
QUACK ATTACK 1985: TURBO DX EDITION,23,ATTACK MOUNTAIN,ATTACK MOUNTAIN,784,785,0,2,108,246,0
,,,,,,,,,,
"Sorry, James",53,Konstructors Entertainment,"Konstructors Entertainment, GrabTheGames, WhisperGames",8665,3151,1575,4.94,20,31.5,66.12
,,,,,,,,,,
Maneki's Curse,17,N.R. Burnette,N.R. Burnette,12603,1579,0,1.62,-1,0,-1
,,,,,,,,,,
Stone Tales,27,Yellow Worm Studios,,17329,10503,0,2.3,226,112.6,640.71
,,,,,,,,,,
Fowl Space,16,Pixelante Game Studios,Pixelante Game Studios,21376,8863,0,1.56,232,137.21,41.88
,,,,,,,,,,
8BitBoy,35,AwesomeBlade,AwesomeBlade,292747,108705,784,2.93,67,39.58,1.25
,,,,,,,,,,
Bullet Heaven 2,99,Matt Roszak,Matt Roszak,13034,11209,1303,50,43,91.12,265.94
,,,,,,,,,,
Pale Echoes,62,Wyrmling Productions,Degica,30983,9190,784,6.2,79,89.12,632.35
,,,,,,,,,,
Khaba,92,Hello There AB,Hello There AB,9978,5251,0,23,44,154.71,598.28
,,,,,,,,,,
Freespace 2,30,Volition Inc,Interplay Corp,29979,17205,785,2.55,58,53.42,29.44
,,,,,,,,,,
Pick a Hero,44,vikingfabian.com,vikingfabian.com,4464,2764,0,3.88,228,127.33,112.04
,,,,,,,,,,
Regions Of Ruin,95,Vox,"Poysky Productions, Phangd",6039,4989,789,29,43,38.5,55.12
,,,,,,,,,,
Wolfenstein 3D,89,id Software,id Software,367563,180653,3389,18.37,43,63.7,386.26
,,,,,,,,,,
Viral,,Dunfan Lu,Dunfan Lu,785,785,0,0,-1,0,-1
,,,,,,,,,,
Kane and Lynch: Dead Men,16,IO Interactive,Square Enix,443943,156670,781,1.56,138,72.32,6.03
,,,,,,,,,,
Jesus Christ RPG Trilogy,53,Wholetone Games,Wholetone Games,140211,76144,1050,4.95,-1,0,-1
,,,,,,,,,,
Ultimagus,,Zealwind,Zealwind,1176,784,0,0,24,84.5,126.56
,,,,,,,,,,
Day of Defeat,74,Valve,Valve,7919809,1748140,12252,9.22,44,110.87,258.66
,,,,,,,,,,
Transport Giant,7,United Independent Entertainment GmbH,United Independent Entertainment GmbH,35972,20743,3139,0.91,232,128.12,265.94
,,,,,,,,,,
sWORD MASTER,,Studio 1983,Studio 1983,3128,0,0,0,69,0,-1
,,,,,,,,,,
Marvin's Mittens,99,Breakfall,Breakfall,10503,7352,0,118,42,110,435.6
,,,,,,,,,,
Cliffstone Manor,,Sprocket Crash Games,Sprocket Crash Games,1838,795,0,0,45,31,0
,,,,,,,,,,
Aarklash: Legacy,42,Cyanide,Cyanide,75882,48837,790,3.67,79,95.94,24.84
,,,,,,,,,,
The first thrust of God,,Apillo,Apillo,1838,785,785,0,-1,0,-1
,,,,,,,,,,
Commandos 2: Men of Courage,62,Pyro Studios,Merge Games,670216,257033,5735,6.29,12,58.33,1.28
,,,,,,,,,,
TROID BLASTER,,KINGS GUARD GAMES,KINGS GUARD GAMES,2384,795,0,0,229,61.5,6.12
,,,,,,,,,,
Robo Do It,16,Angel Carriola,Glossware Games,41748,34921,1184,1.5,44,52.17,148.34
,,,,,,,,,,
Star Nomad 2,30,Huy Phan,Huy Phan,4989,3938,0,2.55,311,118.5,1040.06
,,,,,,,,,,
Puzzle Mania,,Norrland Interactive,Norrland Interactive,795,0,0,0,-1,0,-1
,,,,,,,,,,
The Challenge,25,Atum Software,Sometimes You,9978,7089,795,2.17,108,55.29,0.75
,,,,,,,,,,
Spacecats with Lasers VR,100,"Bitten Toast Games Inc., Guilherme Cunha, Daniel Snd, Thiago Adamo",Bitten Toast Games Inc.,1043,0,0,2,106,77.75,123.77
,,,,,,,,,,
Outpost 13,4,"Cantina Games and Entertainment, Inc.","Cantina Games and Entertainment, Inc.",2101,1313,0,0.64,108,104,782.29
,,,,,,,,,,
Indygo,86,Pigmentum Game Studio,Fat Dog Games,2363,785,0,14.5,43,60,0
,,,,,,,,,,
Universal Combat CE,4,3000AD,3000AD,119993,32296,0,0.66,110,149.5,406.12
,,,,,,,,,,
World of Goo,86,2D BOY,2D BOY ,1145053,742538,3938,15.17,43,83.13,212.32
,,,,,,,,,,
Alice: Madness Returns,67,Spicy Horse Games,Electronic Arts,631374,480439,2607,7.58,-1,0,-1
,,,,,,,,,,
NosTale,25,"Entwell Co., Ltd.",Gameforge 4D GmbH,173556,119468,9715,2.19,-1,0,-1
,,,,,,,,,,
Rack N Ruin,53,LifeSpark Entertainment,LifeSpark Entertainment,21115,14338,0,5.09,226,133,460.8
,,,,,,,,,,
Battlepillars Gold Edition,65,Hitcents,Hitcents,32821,25732,784,6.72,229,143.88,943.41
,,,,,,,,,,
Rocket Ski Racing,40,nocanwin,nocanwin,1564,1564,0,3.4,226,58.5,5.04
,,,,,,,,,,
Watson's Watch,100,Retro Warp Gaming,Retro Warp Gaming,7614,4726,0,8,397,215,0
,,,,,,,,,,
Nova Blitz,30,Dragon Foundry,"Dragon Foundry, Hashbang Games",36759,12341,2384,2.5,-1,0,-1
,,,,,,,,,,
Gravity puzzles,,Dexion Games,Dexion Games,4464,784,0,0,41,0,-1
,,,,,,,,,,
Bomb Squad Academy,49,Systemic Games,Systemic Games,4989,3938,0,4.4,226,89,0
,,,,,,,,,,
Beerman,10,Lee Davidson,Lee Davidson,29718,26850,784,1.12,231,240,0
,,,,,,,,,,
Fallout: New Vegas,92,Obsidian Entertainment,Bethesda Softworks,642844,566985,21376,21.72,-1,0,-1
,,,,,,,,,,
RAID: World War II,13,Lion game Lion,Starbreeze Publishing AB,24244,21376,2607,1.37,106,56,0
,,,,,,,,,,
One day in London,92,Owl Studio,Owl Studio,789,0,0,19.33,54,59.71,4.66
,,,,,,,,,,
Alpha Polaris : A Horror Adventure Game,37,Turmoil Games,Turmoil Games,8402,4989,0,3.03,106,48.2,113.16
,,,,,,,,,,
Creeper World 2: Anniversary Edition,74,Knuckle Cracker,Knuckle Cracker,11028,6564,1050,10,43,82.4,430.59
,,,,,,,,,,
JUJU,82,Flying Wild Hog,Flying Wild Hog,5474,4171,0,12,734,105.75,1491.89
,,,,,,,,,,
The FOO Show featuring Will Smith,82,"FOO VR, Inc.","FOO VR, Inc.",60390,19167,784,12.7,-1,0,-1
,,,,,,,,,,
Deadly Dozen,28,N-Fusion Interactive,Retroism,2369,1184,0,2.33,79,61,0.2
,,,,,,,,,,
Devil Daggers,92,Sorath,Sorath,320119,174136,7560,19.58,80,129.67,92.59
,,,,,,,,,,
Iron Snout,99,SnoutUp,SnoutUp,1274218,1094086,30239,54.9,-1,0,-1
,,,,,,,,,,
Arvale,56,Jaybot7,Aldorlea Games,5251,2363,0,5.5,63,41.75,22.58
,,,,,,,,,,
Tanks vs Aliens,,VR Features,K Bros Games,30720,28357,784,0,17,40.33,6.69
,,,,,,,,,,
Hush Hush - Unlimited Survival Horror,,MediaAtlas,Libredia,1043,1043,0,1,108,116,2040.2
,,,,,,,,,,
Dice unique rules,,Alexander Shvab,Alexander Shvab,795,0,0,0,-1,0,-1
,,,,,,,,,,
One Thousand Lies,78,Keinart Lobre,Keinart Lobre,117630,57765,1184,10.23,-1,0,-1
,,,,,,,,,,
Sparky's Hunt,23,Luke Cripps,Fellowplayer,1589,0,0,2,539,0,-1
,,,,,,,,,,
Redemption: Eternal Quest,11,SimProse Studios,SimProse Studios,167517,152289,0,1.18,108,93.12,277.6
,,,,,,,,,,
Megapolis,30,Lonely Troops,Lonely Troops,25469,15754,1589,2.47,68,42.55,38.04
,,,,,,,,,,
Intruder Alert: Ixian Operations,13,Frudelsoft,Frudelsoft,33083,4726,0,1.38,-1,0,-1
,,,,,,,,,,
Snow White Solitaire. Charmed Kingdom,,DigiMight,DigiMight,795,0,0,0,-1,0,-1
,,,,,,,,,,
Total Miner,97,Studio Forge Ltd,Studio Forge Ltd,3389,3389,1172,40.6,48,0,-1
,,,,,,,,,,
Concealed Intent,71,Jarrah Technology,Jarrah Technology,2626,2101,0,8.5,42,76.3,124.61
,,,,,,,,,,
Tomb Raider: Legend,67,Crystal Dynamics,Square Enix,878502,222884,2346,7.62,43,36.41,7.29
,,,,,,,,,,
The Quest for Achievements II,,StarSystemStudios‰ã¢,StarSystemStudios‰ã¢,35714,3389,1043,0,95,36.5,378.12
,,,,,,,,,,
Terminal Hacker - Into the Deep,2,SecuritySession.com,SecuritySession.com,1050,1176,0,0.5,775,30.5,3.12
,,,,,,,,,,
Cricket Revolution,13,Mindstorm Studios,Mindstorm Studios,18380,15491,0,1.35,1868,103.71,272.99
,,,,,,,,,,
Full Spectrum Warrior,19,Pandemic Studios,THQ Nordic,186422,40698,0,1.73,137,82.07,374.06
,,,,,,,,,,
RISK - The Game of Global Domination,4,Marmalade Game Studio,Marmalade Technologies Ltd,7352,6827,0,0.62,-1,0,-1
,,,,,,,,,,
La Aventura De Axel,,Tordrix Games,Tordrix,795,0,0,0,80,0,-1
,,,,,,,,,,
Teleglitch: Die More Edition,59,Test3 Projects,Paradox Interactive,775010,415789,1564,5.94,42,58.96,2.44
,,,,,,,,,,
Fate/EXTELLA,89,Marvelous Inc.,"XSEED Games, Marvelous USA, Inc.",58914,55525,7038,16.68,43,29,0
,,,,,,,,,,
Jumping Tank,12,Maximus.ez,Maximus.ez,347751,322986,8081,1.24,108,93.33,17.93
,,,,,,,,,,
Demons with Shotguns,92,"MindShaft Games, LLC","MindShaft Games, LLC",12252,7038,0,21,80,97.89,87.8
,,,,,,,,,,
SMASH+GRAB,42,United Front Games,United Front Games,14598,14077,0,3.73,-1,0,-1
,,,,,,,,,,
Tex Murphy: Mean Streets,28,Access Software,Nightdive Studios,44316,7560,0,2.33,79,104.75,322.92
,,,,,,,,,,
Allods Online RU,16,Mail.ru Games,Mail.ru,150713,87435,2626,1.54,-1,0,-1
,,,,,,,,,,
Board Games VR,,artArmin,artArmin,3676,790,0,0,-1,0,-1
,,,,,,,,,,
Dangerous Golf,6,Three Fields Entertainment,Three Fields Entertainment,157192,48748,785,0.81,43,96.5,9.38
,,,,,,,,,,
ENIGMA : An Illusion Named Family,92,AV media lab,AV media lab,1313,788,0,23,-1,0,-1
,,,,,,,,,,
Age of Wonders II: The Wizard's Throne,44,Triumph Studios,Paradox Interactive,88222,36234,0,3.95,73,86.68,550.56
,,,,,,,,,,
Train Simulator,19,Dovetail Games,Dovetail Games - Trains,1088863,940776,70105,1.77,319,82.59,212.96
,,,,,,,,,,
Sky to Fly: Soulless Leviathan,53,AIVIK LLC,Absolutist Ltd.,5214,4432,0,5,165,57.57,245.19
,,,,,,,,,,
Tachyon Project,28,Eclipse Games,Eclipse Games,19030,10167,0,2.36,108,104.25,110.63
,,,,,,,,,,
Cemetery Warrior 3,17,Falcoware,Atriagames,49008,46402,784,1.58,85,70.75,1341.39
,,,,,,,,,,
SOMA,92,Frictional Games,Frictional Games,523712,331328,8603,23.97,43,49.88,15.28
,,,,,,,,,,
B.A.D Battle Armor Division,11,Crian Soft,Crian Soft,2607,1569,0,1.21,110,62.08,0.07
,,,,,,,,,,
Space Bit Attack,21,"Lucid Sight, Inc.","Lucid Sight, Inc.",1825,1303,0,1.83,108,114,88.2
,,,,,,,,,,
ULTRAWORLD EXODUS,30,Neon Serpent LLC,Neon Serpent LLC,18380,3676,784,2.54,-1,0,-1
,,,,,,,,,,
Samurai of Hyuga,62,Hosted Games,Hosted Games,4989,3151,0,6.5,45,155.67,1147.26
,,,,,,,,,,
Bardbarian,71,TreeFortress Games,TreeFortress Games,132334,92686,785,8.3,17,51.44,28.12
,,,,,,,,,,
Sudden Strike 2 Gold,56,Fireglow,Kalypso Media Digital,40698,18380,1313,5.62,42,44,98
,,,,,,,,,,
Smugglers 5,14,Niels Bauer Games,Niels Bauer Games,37810,13653,0,1.39,108,43.57,1.05
,,,,,,,,,,
Dangerous High School Girls in Trouble!,23,Mousechief,Mousechief,127607,30195,0,1.96,43,75.32,373.41
,,,,,,,,,,
Coffee Shop Tycoon,59,Riff Studios,Riff Studios,9978,9715,1184,5.7,43,76,480.2
,,,,,,,,,,
Secrets of Grindea,89,Pixel Ferrets,Pixel Ferrets,153021,150153,4692,18.64,-1,0,-1
,,,,,,,,,,
ASTRONEER,59,System Era Softworks,System Era Softworks,947340,922396,85597,6.14,42,247,0
,,,,,,,,,,
The guard of dungeon,16,HeX,Laush Studio,83419,80290,2352,1.52,124,103.5,741.12
,,,,,,,,,,
Room 404,9,3DTM,Machine Bearå¨ Software e Games,7560,1303,0,1,472,0,-1
,,,,,,,,,,
METAL SLUG 2,56,"SNK CORPORATION, DotEmu",SNK CORPORATION,49269,15641,778,5.5,44,66.78,1526.78
,,,,,,,,,,
Foosball - Street Edition,28,"Yuisy, Exkee",Yuisy,9978,3938,0,2.38,734,220.67,8077.37
,,,,,,,,,,
ARK: Survival Evolved,24,"Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC",Studio Wildcard,5835541,5587679,567406,2.05,85,39.22,4.54
,,,,,,,,,,
Energy Balance,30,Sometimes You,Sometimes You,262829,217405,2363,2.47,79,43.9,26.68
,,,,,,,,,,
Tony Tough and the Night of Roasted Moths,30,Nayma Software,Nightdive Studios,4989,1184,0,2.5,47,96.6,367.24
,,,,,,,,,,
VR Slugger: The Toy Field,,Poly Poly Games,Poly Poly Games,782,782,778,0,45,51.75,213.89
,,,,,,,,,,
Headlander,74,Double Fine Productions,Adult Swim Games,135294,35453,1172,9.66,42,57.67,459.86
,,,,,,,,,,
8i - Make VR Human,21,8i,8i,40960,8927,0,1.8,-1,0,-1
,,,,,,,,,,
LostWinds,59,Frontier Developments,Frontier Developments,81396,11028,0,5.81,14,86.86,3709.57
,,,,,,,,,,
Yomi,59,Sirlin Games,Sirlin Games,6564,6039,0,5.86,42,119.75,825.2
,,,,,,,,,,
Gunmetal Arcadia Zero,53,Minor Key Games,Minor Key Games,68560,3650,0,4.92,44,58.14,95.51
,,,,,,,,,,
Color Syndrome,22,Thrill Pill Games,Thrill Pill Games,22843,18905,0,1.91,232,59,204.8
,,,,,,,,,,
Zhulik.exe,,DarkDes Labs,DarkDes Labs,5251,788,785,0,-1,0,-1
,,,,,,,,,,
The Fall of the Dungeon Guardians - Enhanced Edition,59,Mana Games,Mana Games,35446,23894,1578,6.02,31,33,8.17
,,,,,,,,,,
All Haze Eve,,xrrawva,xrrawva,2369,0,0,0,106,0,-1
,,,,,,,,,,
Aliens X,,Xero TR-MMXZ,Xitilon,9906,1043,0,0,49,62.5,0.12
,,,,,,,,,,
Ninja Outbreak,,Renegade Sector Games,Renegade Sector Games,3389,2868,0,2,108,52.18,48.85
,,,,,,,,,,
Penny Arcade's On the Rain-Slick Precipice of Darkness 3,62,Zeboyd Games,"Penny Arcade, Inc.",319806,131283,0,6.68,42,58.7,19.4
,,,,,,,,,,
Voice of Pripyat,5,Slav Pankratov,Slav Pankratov,6564,4726,0,0.74,1108,17.67,1.81
,,,,,,,,,,
Ryse: Son of Rome,53,Crytek,Crytek ,1079227,828711,10949,5.01,43,53.24,106.26
,,,,,,,,,,
City of Chains,40,Astronomic Games,New Reality Games,325845,234734,6564,3.46,15,55,120.07
,,,,,,,,,,
Puzzle Bloc Invasion,,Colorful Games,Colorful Games,795,0,0,0,-1,0,-1
,,,,,,,,,,
TAURONOS,100,"conradproteus, cavalie_ro, S.C. 16 BIT NIGHTS S.R.L.",S.C. 16 BIT NIGHTS S.R.L.,795,0,0,24,43,34.5,21.12
,,,,,,,,,,
Mythic Victory Arena,37,Resi,MVA_Resi,7352,0,0,3,289,102,722
,,,,,,,,,,
There's Poop In My Soup - Pooping with Friends,,K Bros Games,K Bros Games,1303,0,0,0,-1,0,-1
,,,,,,,,,,
Angry Arrows,86,DanielDavisGames,DanielDavisGames,15902,5735,0,14.88,42,86.4,30.98
,,,,,,,,,,
The Albatross,2,JDRumble,JDRumble,49008,46662,0,0.47,88,53.8,29.77
,,,,,,,,,,
MegaGlest,100,SoftCoder,Mega Glest Team,1589,795,0,12,-1,0,-1
,,,,,,,,,,
Games&Girls,28,Yume Creations,Yume Creations,38860,32558,26519,2.39,79,112,760.5
,,,,,,,,,,
Trace Vector,51,Vexel Games,Vexel Games,12513,8342,0,4.86,226,115.33,19.75
,,,,,,,,,,
Penguins Arena: Sedna's World,65,Frogames,Frogames,148850,73513,784,7.1,42,52.06,72.22
,,,,,,,,,,
The Dolls: Reborn,8,HUSH Interactive,Forever Entertainment S. A.,65379,42536,790,0.97,130,61.75,4.88
,,,,,,,,,,
SINISTRY SILINIUM,27,Igrodelsky,Siberian Digital,18508,11209,0,2.29,108,19,0
,,,,,,,,,,
aMAZEing adventures,23,Ascendant Studio,Ascendant Studio,4464,2626,0,2,108,78,25
,,,,,,,,,,
Veilia,28,Gawkfish Studios,Gawkfish Studios,6039,4464,785,2.33,43,133.33,3912.04
,,,,,,,,,,
My Name is Mayo,51,Green Lava Studios,Green Lava Studios,46737,40960,784,4.58,42,75,18.78
,,,,,,,,,,
Dexodonex,27,Seragam,Seragam,117105,112378,784,2.25,67,60.2,0.65
,,,,,,,,,,
Ancient Worlds: Jaguar's Fate,,Games++,Games++,1589,0,0,0,177,0,-1
,,,,,,,,,,
Task is to Survive,7,Laush Dmitriy Sergeevich,Laush Dmitriy Sergeevich,2101,0,0,0.86,40,66,0
,,,,,,,,,,
Bad ass babes,65,Thatcher Productions,Thatcher Productions,3910,3910,781,6.8,44,92.75,2364.39
,,,,,,,,,,
KART CHASER : THE BOOST VR,25,YJM VR,YJM GAMES,4989,2369,0,2.22,106,136.5,105.12
,,,,,,,,,,
Safecracker: The Ultimate Puzzle Adventure,18,Kheops Studio,THQ Nordic,94524,42798,785,1.66,110,75.42,384.04
,,,,,,,,,,
VRtender,,Further Beyond Studios,Further Beyond Studios,795,795,0,0,234,0,-1
,,,,,,,,,,
Bear Simulator,56,Farjay.com,Farjay.com,11991,10949,781,5.58,444,28,0
,,,,,,,,,,
VR The Diner Duo,97,Whirlybird Games,Whirlybird Games,20218,18117,1973,37.86,227,77.33,249.04
,,,,,,,,,,
Wings of Vi,59,Grynsoft,Grynsoft,61782,52919,1570,5.71,43,79.57,262.06
,,,,,,,,,,
The District,1,DistrictTeam,DistrictTeam,323247,290922,1568,0.3,108,48.05,0.22
,,,,,,,,,,
Infinite Gateway,53,"Half-Face Production, Nova Dimension",Nova Dimension,3910,784,785,5,32,19,28.8
,,,,,,,,,,
Purrfect Date - Visual Novel/Dating Simulator,86,Bae Team,Bossa Studios,3151,1575,0,14.8,43,0,-1
,,,,,,,,,,
Oddworld: Munch's Oddysee,31,Oddworld Inhabitants,Oddworld Inhabitants,260203,95312,1050,2.61,56,84.93,0.81
,,,,,,,,,,
Antihorror,42,HFM Games,HFM Games,3515,1172,0,3.62,79,81.33,31.13
,,,,,,,,,,
Kaboom Monsters,17,Broken Arms Games Pty Ltd,Broken Arms Games Pty Ltd,15229,10240,784,1.57,108,119.25,511.89
,,,,,,,,,,
Tiger Knight: Empire War,42,NetDragon Websoft Holdings Limited,Oasis Games,1373223,992502,8927,3.65,-1,0,-1
,,,,,,,,,,
Spectrubes,49,The Light Sword Team,The Light Sword Team,21793,15229,1184,4.5,110,116.2,1059.97
,,,,,,,,,,
Shotgun Farmers,67,Megastorm Games,Megastorm Games,9385,9124,1043,7.42,44,50.75,848.27
,,,,,,,,,,
Out of Ammo: Death Drive,59,RocketWerkz,RocketWerkz,2363,2101,0,5.86,42,0,-1
,,,,,,,,,,
Dragon Perception,,ARGames,Metal Fox,2363,0,0,0,104,0,-1
,,,,,,,,,,
Naughty Elves,,gurkenlabs,gurkenlabs,795,0,0,0,-1,0,-1
,,,,,,,,,,
GRID 2,49,"Codemasters Racing, Feral Interactive (Mac)","Codemasters, Feral Interactive (Mac)",1200454,943664,27832,4.35,43,42.5,35.16
,,,,,,,,,,
Sleep Attack,53,Bad Seed,Plug In Digital,23894,12866,795,5,84,90.7,603.73
,,,,,,,,,,
Brave Path,,GooDCrafter,GooDCrafter,3413,0,0,0,52,59,0
,,,,,,,,,,
LightStrike,21,Groove Jones LLC,Groove Jones LLC,1562,1172,0,1.8,-1,0,-1
,,,,,,,,,,
Millennium 4 - Beyond Sunset,62,Aldorlea Games,Aldorlea Games,18380,7877,785,6.33,14,40.5,2.41
,,,,,,,,,,
Raw Data,62,Survios,Survios,106865,99250,5251,6.45,43,58,121
,,,,,,,,,,
FEZ,82,Polytron Corporation,Trapdoor,1493478,1030311,8927,11.57,43,65.42,9.33
,,,,,,,,,,
Death Goat,44,Terminal Press,Terminal Press,38060,22940,0,3.93,42,65.73,69.89
,,,,,,,,,,
Red Haze,53,Yai Gameworks,Yai Gameworks,4989,3151,0,5.13,45,77.75,656.64
,,,,,,,,,,
My Tribe,30,Big Fish Games,Big Fish Games,5251,4989,784,2.54,226,137.75,2013.77
,,,,,,,,,,
Startopia,67,,Square Enix,218455,68005,1570,7.7,43,98.8,27.2
,,,,,,,,,,
Mos Speedrun 2,86,Physmo,Physmo,1043,0,0,14,627,87.33,1.81
,,,,,,,,,,
Dear Esther,37,"The Chinese Room, Robert Briscoe",The Chinese Room,805292,444788,0,3.15,-1,0,-1
,,,,,,,,,,
Biomydra,,Class of 2015-2016,Campus ADN,3128,781,0,0,-1,0,-1
,,,,,,,,,,
Nice Slice,,Kool2Play,Kool2Play,4738,795,795,0,43,78.75,558.14
,,,,,,,,,,
GRID Autosport,37,"Codemasters Racing, Feral Interactive (Mac), Feral Interactive (Linux)","Codemasters, Feral Interactive (Mac), Feral Interactive (Linux)",637774,516468,11815,3.16,45,43.54,26.94
,,,,,,,,,,
Grim Tales: The Legacy Collector's Edition,,Elephant Games,Big Fish Games,795,0,0,0,-1,0,-1
,,,,,,,,,,
Chunks,13,Facepunch Studios,Facepunch Studios,22581,4464,0,1.28,107,112.8,4.61
,,,,,,,,,,
Defenders of Tetsoidea II RPG,74,Brewsterland Studios,Brewsterland Studios,5251,3151,1568,9.5,-1,0,-1
,,,,,,,,,,
